id,status,guest,host,cabinet,date,guestid,title,unregistered,participants
5efc9cf4824766d17731acabffb4d820,registered,,Pauline Rouch,Cabinet members of President Jean-Claude Juncker,2015-01-06T00:00:00,a639e6fa3b994083b4bab8ae8a8a7750,Digital Single Market,,1
1fcdab5e22027227d5f5cd6cd11a0fc6,registered,,Pauline Rouch,Cabinet members of President Jean-Claude Juncker,2015-01-06T00:00:00,5ec51daea8424410b06bd40c08ded706,Digital Single Market,,1
51612b72131a8a35e1e144b2327afc55,registered,,Telmo Baltazar,Cabinet members of President Jean-Claude Juncker,2014-12-22T00:00:00,ee1414069e8f4da9bc76bdcda4e007eb,Energy Union - Investment in Europe,,1
e80e760a7fdd49e92785f7ee029d7041,registered,,Leon Delvaux,Cabinet members of President Jean-Claude Juncker,2014-12-18T00:00:00,9ea9f5cdb07e420f87601244f15240d3,The European Rail Industry in Trade Negotiations,,1
8231f0c760b782dbce9f6ea812545e9a,registered,,Paulina Dejmek Hack,Cabinet members of President Jean-Claude Juncker,2014-12-17T00:00:00,b415aff8619f4d64a7be40969b9fdbbc,Investment Plan and Capital Markets Union,,1
567f7c36a1ef4c92fffe9eb3dd1139b8,registered,,Carlo Zadra,Cabinet members of President Jean-Claude Juncker,2014-12-15T00:00:00,94fbaacea67446cc9530b8cc5892e442,Main issues on the European agenda relevant to the Italian steel sector,,1
6ff47870fc41be221a61f327e91deafd,registered,,Luc Tholoniat,Cabinet members of President Jean-Claude Juncker,2014-12-15T00:00:00,6f1a228ff07f4768b63eb8411651f36e,Economic priorities of the EU,,1
70415a70aae0be30913bf39ccfd75fe4,registered,,Luc Tholoniat,Cabinet members of President Jean-Claude Juncker,2014-12-12T00:00:00,5197275752e34e03897d0b24d70c4fce,Priorités de l'UE dans le domaine social,,1
36d146e4f217f21e3874a3f5cf9374d6,registered,,Luc Tholoniat,Cabinet members of President Jean-Claude Juncker,2014-12-12T00:00:00,7d3d278d77e840e7b750babb44465e40,Priorités de l'UE dans le domaine social,,1
43cc2b34f4454b985f60a1cdfcb8c728,registered,,Paulina Dejmek Hack,Cabinet members of President Jean-Claude Juncker,2014-12-11T00:00:00,32b9142f830c41b7a7ab8b85d04fd6a4,Investment Plan,,1
35fb02e717ac2eb6e988fcd1ffb725d4,registered,,Telmo Baltazar,Cabinet members of President Jean-Claude Juncker,2014-12-11T00:00:00,788c9b041aa442e8a649697ae0c3ea0c,Investment in Europe & Energy Union,,1
